time,MD,MF
12.839992,0.6024,0.80832
12.859992,0.6024,0.80832
12.879992,0.6024,0.80832
12.900092,0.6024,0.80832
12.920092,0.6024,0.80832
12.939992,0.6024,0.80832
12.960092,0.6024,0.80832
12.979992,0.6024,0.80832
12.999992,0.6024,0.80832
13.019992,0.6024,0.80832
13.039992,0.6024,0.80832
13.059992,0.6024,0.80832
13.079992,0.6024,0.80832
13.099992,0.6024,0.80832
13.119992,0.6024,0.80832
13.139992,0.6024,0.80832
13.159992,0.6024,0.80832
13.179992,0.6024,0.80832
13.199992,0.6024,0.80832
13.219992,0.6024,0.80832
13.239992,0.6024,0.80832
13.259992,0.6024,0.80832
13.279992,0.6024,0.80832
13.299992,0.6024,0.80832
13.320092,0.6024,0.80832
13.339992,0.6024,0.80832
13.360092,0.6024,0.80832
13.380092,0.6024,0.80832
13.399992,0.6024,0.80832
13.419992,0.6024,0.80832
13.439992,0.6024,0.80832
13.459992,0.6024,0.80832
13.479992,0.6024,0.80832
13.499992,0.6024,0.80832
13.519992,0.6024,0.80832
13.540092,0.6024,0.80832
13.559992,0.6024,0.80832
13.579992,0.6024,0.80832
13.599992,0.6024,0.80832
13.619992,0.6024,0.80832
13.640092,0.6024,0.80832
13.659992,0.6024,0.80832
13.680092,0.6024,0.80832
13.699992,0.6024,0.80832
13.719992,0.6024,0.80832
13.739992,0.6024,0.80832
13.759992,0.6024,0.80832
13.779992,0.6024,0.80832
13.799992,0.6024,0.80832
13.820092,0.6024,0.80832
13.839992,0.6024,0.80832
13.859992,0.6024,0.80832
13.879992,0.6024,0.80832
13.899992,0.6024,0.80832
13.920092,0.6024,0.80832
13.940092,0.6024,0.80832
13.959992,0.6024,0.80832
13.979992,0.6024,0.80832
13.999992,0.6024,0.80832
14.019992,0.6024,0.80832
14.039992,0.6024,0.80832
14.059992,0.6024,0.80832
14.079992,0.6024,0.80832
14.099992,0.6024,0.80832
14.119992,0.6024,0.80832
14.139992,0.6024,0.80832
14.159992,0.6024,0.80832
14.179992,0.6024,0.80832
14.199992,0.6024,0.80832
14.220092,0.6024,0.80832
14.239992,0.6024,0.80832
14.259992,0.6024,0.80832
14.279992,0.6024,0.80832
14.299992,0.6024,0.80832
14.319992,0.6024,0.80832
14.339992,0.6024,0.80832
14.360092,0.6024,0.80832
14.380092,0.6024,0.80832
14.399992,0.6024,0.80832
14.419992,0.6024,0.80832
14.439992,0.6024,0.80832
14.459992,0.6024,0.80832
14.479992,0.6024,0.80832
14.499992,0.6024,0.80832
14.519992,0.6024,0.80832
14.539992,0.6024,0.80832
14.559992,0.6024,0.80832
14.579992,0.6024,0.80832
14.599992,0.6024,0.80832
14.619992,0.6024,0.80832
14.639992,0.6024,0.80832
14.659992,0.6024,0.80832
14.679992,0.6024,0.80832
14.699992,0.6024,0.80832
14.720092,0.6024,0.80832
14.739992,0.6024,0.80832
14.760092,0.6024,0.80832
14.779992,0.6024,0.80832
14.799992,0.6024,0.80832
