time,MA,MC,MD,MF
6.885447,0.069053,-0.027621,0.193349,-0.027621
6.905447,0.027621,0.013811,0.20716,-0.041432
6.925447,0.027621,0.027621,0.20716,-0.027621
6.945447,0.069053,-0.013811,0.193349,-0.041432
6.965447,0.082864,0.041432,0.248592,-0.055243
6.985447,0.082864,0.055243,0.179539,0.0
7.005447,0.082864,0.0,0.193349,-0.055243
7.025447,0.055243,0.027621,0.151917,-0.027621
7.045447,0.055243,0.027621,0.165728,0.0
7.065447,0.069053,-0.013811,0.165728,-0.055243
7.085447,0.069053,0.055243,0.138106,-0.041432
7.105447,0.055243,0.0,0.193349,-0.041432
7.125447,0.096675,0.041432,0.110485,-0.013811
7.145447,0.096675,0.013811,0.179539,-0.041432
7.165447,0.055243,-0.013811,0.110485,-0.041432
7.185447,0.027621,0.055243,0.138106,-0.027621
7.205447,0.027621,-0.055243,0.151917,-0.013811
7.225447,0.069053,0.041432,0.082864,-0.082864
7.245447,0.027621,0.027621,0.138106,-0.013811
7.265447,-0.013811,-0.027621,0.082864,-0.027621
7.285447,0.0,0.041432,0.124296,-0.027621
7.305447,0.055243,0.013811,0.138106,-0.041432
7.325447,0.0,-0.027621,0.096674,-0.041432
7.345447,0.027621,0.0,0.124296,-0.055243
7.365447,0.013811,0.013811,0.082864,-0.055243
7.385447,0.069053,-0.013811,0.082864,-0.041432
7.405447,0.055243,0.0,0.110485,-0.027621
7.425447,0.082864,-0.013811,0.041432,-0.027621
7.445447,0.096675,-0.027621,0.110485,-0.041432
7.465447,0.096675,0.0,0.041432,-0.041432
7.485447,0.096675,0.0,0.069053,-0.041432
7.505447,0.041432,0.013811,0.151917,-0.041432
7.525447,0.110486,-0.041432,0.110485,-0.055243
7.545447,0.027621,-0.027621,0.151917,-0.027621
7.565447,0.041432,-0.013811,0.096674,-0.027621
7.585447,0.027621,-0.041432,0.138106,-0.055243
7.605447,-0.013811,0.0,0.110485,0.0
7.625447,-0.013811,0.013811,0.110485,-0.055243
7.645447,-0.041432,-0.055243,0.151917,-0.027621
7.665447,-0.027621,-0.013811,0.082864,-0.013811
7.685447,0.013811,0.013811,0.124296,-0.055243
7.705447,-0.013811,-0.027621,0.124296,0.013811
7.725447,0.0,-0.027621,0.082864,-0.041432
7.745447,-0.041432,-0.013811,0.110485,-0.055243
7.765447,-0.055243,-0.041432,0.069053,-0.013811
